ID,Cur Stn,"Cur City, State",Cur Division,Cur Train,Model,Model Year,Built Date,Rebuilt Date,HP,Category,Train Service Code,Assign Date,Last Upd,Home Shop,Alt Shop,Power Usage,Home Operating Station,Status,Servicing State,Task Type,FRA Due,FRA Dead,Next LCDI Due,Axles,ADH,SM,AC,DP Code,DP Description,Energy Mgmt,Energy Mgmt Health,ECP Code,ECP Description,CS,LSL,PTC,PTC Health,Slow Speed,Remote Control,Auto Start,Loco Apu,Remote Diag,Fuel Cap,Rail View,Loco Grp,Brake Schedule,Amtrak Clearance,Cell Phn Detection,V/TI,Length,Weight
NS 3505,10253,"Roanoke Freight Sta, VA",Pocahontas (62),,SD40-2,74,1974-06-01,,3000,RD Unit IN RD Service,YL Clean Sheet Storage (A5),2018-11-30,TXIFV,MDH,MDH,YL,,S,IS,ME,2019-04-16,2019-04-23,,6,Low,,Y,N,Not Equipped,,,N,Not Equipped,,,IETMS,Unhealthy,,,,,NEQ,4000,N,3,26L,N,N,,"68'10""",384020
NS 3506,240A,"Chattanooga, TN",Alabama (08),,SD40-2,74,1974-06-01,,3000,RD Unit IN RD Service,AL Clinton TN (C0),2019-04-19,TXIFV,CHA,SCX,YL,"Clinton, TN  (21C)",A,IS,ME,2019-04-21,2019-04-28,,6,Low,,Y,N,Not Equipped,,,N,Not Equipped,,,IETMS,Unhealthy,,,,,NEQ,4000,N,3,26L,N,N,,"68'10""",384020
NS 1175,49TC,"Click, TN",Pocahontas (62),74A.25,SD70IAC,2018,2018-12-12,,4300,RD Unit IN RD Service,,,,,,RD,,A,IC,AF,2019-06-05,2019-06-12,2019-05-21,6,High,,Y,Y,Radio Only,Leader,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1177,547A,"Memphis, TN",Alabama (08),,SD70IAC,2018,2018-12-12,,4300,RD Unit IN RD Service,,,,,,RD,,A,IC,AF,2019-06-04,2019-06-11,2019-05-26,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1178,R6,"Charlotte Scanner, NC",Piedmont (03),50D.21,SD70IAC,2018,2018-12-12,,4300,RD Unit IN RD Service,,,,,,RD,,A,,MR,2019-06-07,2019-06-14,2019-05-16,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1179,11375,"Elmore, WV",Pocahontas (62),,SD70IAC,2018,2018-12-12,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-05-31,2019-06-07,2019-05-26,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1182,70578,"Blue Island, IL",Dearborn (76),,SD70IAC,2018,2018-12-12,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-06-12,2019-06-19,2019-05-23,6,High,,Y,Y,Radio Only,Leader,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1180,80H,"Rome, GA",Georgia (04),,SD70IAC,2018,2018-12-16,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-06-04,2019-06-11,2019-05-15,6,High,,Y,Y,Radio Only,Leader,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1181,547A,"Memphis, TN",Alabama (08),,SD70IAC,2018,2018-12-16,,4300,RD Unit IN RD Service,,,,,,RD,,A,IB,AF,2019-06-11,2019-06-18,2019-05-05,6,High,,Y,Y,Radio Only,Leader,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1183,CD422,"Elkhart, IN",Dearborn (76),,SD70IAC,2018,2018-12-17,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-06-04,2019-06-11,2019-05-28,6,High,,Y,Y,Radio Only,Leader,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1176,CD190,"Cleveland Rockport, OH",Pittsburgh (74),69G.26,SD70IAC,2018,2018-12-19,,4300,RD Unit IN RD Service,,,,,,RD,,A,IB,AF,2019-06-10,2019-06-17,2019-05-24,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1184,188N,"Selma Scanner, AL",Alabama (08),182.25,SD70IAC,2018,2018-12-20,,4300,RD Unit IN RD Service,,,,,,RD,,A,IB,AF,2019-06-11,2019-06-18,2019-05-15,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1185,10254,"Roanoke, VA",Pocahontas (62),,SD70IAC,2018,2018-12-27,,4300,RD Unit IN RD Service,,,,,,RD,,A,IS,AF,2019-06-17,2019-06-24,2019-05-26,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1187,17628,"Weller Yard, VA",Pocahontas (62),,SD70IAC,2018,2018-12-27,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-06-22,2019-06-29,2019-05-28,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1188,547A,"Memphis, TN",Alabama (08),,SD70IAC,2018,2018-12-27,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-03-22,2019-03-29,2019-05-21,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1189,229A,"Summit Scanner, TN",Georgia (04),22N.25,SD70IAC,2018,2018-12-27,,4300,RD Unit IN RD Service,,,,,,RD,,A,IB,MR,2019-06-22,2019-06-29,2019-05-25,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1204,10354,"Bluefield, WV",Pocahontas (62),J59.25,SD70IAC,2018,2019-01-01,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-06-18,2019-06-25,2019-05-27,6,High,,Y,Y,Radio Only,Leader,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1205,10354,"Bluefield, WV",Pocahontas (62),,SD70IAC,2018,2019-01-01,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-06-18,2019-06-25,2019-05-27,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1186,CD195,"Berea Scanner, OH",Dearborn (76),22K.25,SD70IAC,2018,2019-01-06,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-06-15,2019-06-22,2019-05-27,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1190,368A,"Trinity Scanner, AL",Alabama (08),202.25,SD70IAC,2018,2019-01-20,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-07-09,2019-07-16,2019-05-22,6,High,,Y,Y,Radio Only,Leader,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1191,163W,"Princeton, IN",Illinois (94),,SD70IAC,2018,2019-01-27,,4300,RD Unit IN RD Service,,,,,,RD,,A,IB,AF,2019-04-22,2019-04-29,2019-05-14,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1192,UW2,"Chicago Ashland Ave, IL",Dearborn (76),,SD70IAC,2018,2019-01-27,,4300,RD Unit IN RD Service,,,,,,RD,,A,IC,AF,2019-04-22,2019-04-29,2019-05-27,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1193,9NU,"Detroit North YD, MI",Detroit CSAO (81),,SD70IAC,2018,2019-02-20,,4300,RD Unit IN RD Service,,,,,,RD,,A,IB,AF,2019-05-16,2019-05-23,2019-05-26,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1194,SHRPT,"Shreveport, LA",Alabama (08),,SD70IAC,2018,2019-02-20,,4300,RD Unit IN RD Service,,,,,,RD,,A,IB,AF,2019-05-16,2019-05-23,2019-05-27,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1195,G127,"Sparks Scanner, GA",Georgia (04),209.26,SD70IAC,2018,2019-02-20,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-05-16,2019-05-23,2019-05-27,6,High,,Y,Y,Radio Only,Leader,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1196,00387,"Raber Wild Scanner, IN",Lake (92),234.25,SD70IAC,2018,2019-02-20,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-05-16,2019-05-23,2019-05-21,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1197,575,"Cagle Scanner, GA",Piedmont (03),154.25,SD70IAC,2018,2019-02-20,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-05-16,2019-05-23,2019-05-24,6,High,,Y,Y,Radio Only,Leader,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1198,PT118,"Enola Duncannon Sca, PA",Harrisburg (72),593.26,SD70IAC,2018,2019-02-20,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-05-16,2019-05-23,2019-05-21,6,High,,Y,Y,Radio Only,Leader,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1202,70591,"Proviso, IL",Dearborn (76),,SD70IAC,2018,2019-03-01,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-06-07,2019-06-14,2019-05-26,6,High,,Y,Y,Radio Only,Leader,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1200,A163,"Elihu Scanner, KY",Lake (92),276.25,SD70IAC,2018,2019-03-11,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-06-07,2019-06-14,2019-05-25,6,High,,Y,Y,Radio Only,Leader,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1199,HA484,"Schen Seneca S Scan, NY",Harrisburg (72),206.25,SD70IAC,2018,2019-03-12,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-06-07,2019-06-14,2019-05-26,6,High,,Y,Y,Radio Only,Leader,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1201,A546,"Moundville Scanner, AL",Alabama (08),219.26,SD70IAC,2018,2019-03-12,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-06-07,2019-06-14,2019-05-27,6,High,,Y,Y,Radio Only,Leader,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1203,01174,"Muncie, IN",Lake (92),,SD70IAC,2018,2019-04-07,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-07-01,2019-07-08,2019-05-24,6,High,,Y,Y,Radio Only,Leader,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1206,A165,"Burnside, KY",Lake (92),143.24,SD70IAC,2018,2019-04-07,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-07-01,2019-07-08,2019-05-26,6,High,,Y,Y,Radio Only,Leader,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1207,CD414,"Goshen Scanner, IN",Dearborn (76),366.26,SD70IAC,2018,2019-04-07,,4300,RD Unit IN RD Service,,,,,,RD,,S,OK,AF,2019-07-01,2019-07-08,2019-05-28,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 1208,00122,"Kingsville Scanner, OH",Pittsburgh (74),310.26,SD70IAC,2018,2019-04-07,,4300,RD Unit IN RD Service,,,,,,RD,,A,,AF,2019-07-01,2019-07-08,2019-05-27,6,High,,Y,Y,Radio Only,Leader,Unhealthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,EMD-AAR,,Emd Auto Start/Shdwn  Decal 40160487,,EMD-TMC,4900,Y,6,CCB2,Y,N,N,"74'3""",432000
NS 3648,PT118,"Enola Duncannon Sca, PA",Harrisburg (72),590.25,ET44AC,2017,2017-03-02,,4400,RD Unit IN RD Service,RD Chattanooga Shop (4S),2017-03-16,TXIFV,CHA,MDH,RD,,A,,AF,2019-06-03,2019-06-10,2019-05-14,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3649,178W,"Oakland City Jct, IN",Illinois (94),70W.25,ET44AC,2017,2017-03-02,,4400,RD Unit IN RD Service,RD Chattanooga Shop (4S),2017-03-16,TXIFV,CHA,MDH,RD,,A,,AF,2019-05-30,2019-06-06,2019-05-02,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3650,242H,"Macon, GA",Georgia (04),119.25,ET44AC,2017,2017-03-02,,4400,RD Unit IN RD Service,RD Chattanooga Shop (4S),2017-03-16,TXIFV,CHA,MDH,RD,,A,,AF,2019-05-30,2019-06-06,2019-05-26,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3651,S141,"Asheville, NC",Piedmont (03),,ET44AC,2017,2017-03-02,,4400,RD Unit IN RD Service,RD Chattanooga Shop (4S),2017-03-16,TXIFV,CHA,MDH,RD,,A,IT,MR,2019-04-21,2019-04-28,2019-05-27,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3652,PT118,"Enola Duncannon Sca, PA",Harrisburg (72),66R.23,ET44AC,2017,2017-03-02,,4400,RD Unit IN RD Service,RD Chattanooga Shop (4S),2017-03-16,TXIFV,CHA,MDH,RD,,A,,AF,2019-06-29,2019-07-06,2019-05-18,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3653,HAWTH,"Hawthorne, IL",Dearborn (76),,ET44AC,2017,2017-03-02,,4400,RD Unit IN RD Service,RD Chattanooga Shop (4S),2017-03-16,TXIFV,CHA,MDH,RD,,A,,AF,2019-06-01,2019-06-08,2019-05-21,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Unhealthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3654,A4,"Ludlow Scanner, KY",Lake (92),60A.25,ET44AC,2017,2017-03-02,,4400,RD Unit IN RD Service,RD Chattanooga Shop (4S),2017-03-16,TXIFV,CHA,MDH,RD,,A,IB,AF,2019-05-28,2019-06-04,2019-05-01,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3655,525,"Cheney Scanner, SC",Piedmont (03),212.26,ET44AC,2017,2017-03-02,,4400,RD Unit IN RD Service,RD Chattanooga Shop (4S),2017-03-16,TXIFV,CHA,MDH,RD,,A,,AF,2019-06-15,2019-06-22,2019-05-27,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3656,149MB,"Mobile, AL",Alabama (08),385.25,ET44AC,2017,2017-03-02,,4400,RD Unit IN RD Service,RD Chattanooga Shop (4S),2017-03-16,TXIFV,CHA,MDH,RD,,A,,AF,2019-05-21,2019-05-28,2019-05-27,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3657,10420,"Panther Scanner, WV",Pocahontas (62),763.25,ET44AC,2017,2017-03-02,,4400,RD Unit IN RD Service,RD Chattanooga Shop (4S),2017-03-16,TXIFV,CHA,MDH,RD,,A,,AF,2019-06-06,2019-06-13,2019-05-24,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
NS 3658,15MG,"Bailey Mine, PA",Pittsburgh (74),N21.26,ET44AC,2017,2017-03-02,,4400,RD Unit IN RD Service,RD Chattanooga Shop (4S),2017-03-16,TXIFV,CHA,MDH,RD,,A,IB,AF,2019-06-13,2019-06-20,2019-05-06,6,High,,Y,Y,Radio Only,Trip Optimizer,Healthy,TL,Trainline Only (TRAIL),Y,Y,IETMS,Healthy,GE-AAR,,GE Auto Start/Stop  Decal 84a225794p1,,GE-TMC,4825,Y,6,CCB2,N,N,,"73'2""",432000
